Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
SABA,Paravar Pars Saba,Paravar Pars Company,"Iran, Islamic Republic of",Landplane,_unknown_,Piston,1,Light,,?,,
SACE,Ace Super Ace,Ace Aircraft Manufacturing Inc,United States,Landplane,General Aviation,Piston,1,Light,1,?,,
SACR,Smith Acro Advanced,Barry Smith,United Kingdom,Landplane,_unknown_,Piston,1,Light,,?,,
SAFF,Halsted BH-1 Saffire,Barry Halsted,United States,Landplane,General Aviation,Piston,1,Light,2,1990,1990,1
SAH1,FLS Sprint,FLS Aerospace Lovaux Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,1983,,5
SAKO,Rans S-10 Sakota,Rans Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1988,,215
SALB,Skygear Albatross,Korean Light Aircraft Corporation,"Korea, Republic of",Landplane,_unknown_,Piston,1,Light,,?,,
SAM,Sam Aircraft Sam,Sam Aircraft Inc,Canada,Landplane,General Aviation,Piston,1,Light,2,2013,,1
SAND,Short S-25 Sandringham,Short Brothers plc,United Kingdom,Seaplane,Passenger Airliner,Piston,4,Medium,22,1937,?,
SAPH,Piel CP-1320 Saphir,Piel Aviation SA,France,Landplane,General Aviation,Piston,1,Light,2,?,,
SASH,Shark.Aero Shark,Shark Aircraft AS,Slovakia,Landplane,General Aviation,Piston,1,Light,2,2009,,
SASP,Supermarine Aircraft Spitfire Mk25,Supermarine Aircraft PL,Australia,Landplane,General Aviation,Piston,1,Light,2,1994,,100
SASY,ProTech PT-2 Sassy,ProTech Aircraft Inc,United States,Landplane,_unknown_,Piston,1,Light,,?,,
SATA,CASA HA-220 Super Saeta,Construcciones Aeron&aacute;uticas SA (CASA),Spain,Landplane,Military Trainer,Jet,2,Light,2,?,,
SAVA,Sadler Vampire,Sadler Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,2,1982,,
SAVG,Zlin Aviation Savage,Zlin Aviation sro,Czech Republic,Landplane,General Aviation,Piston,1,Light,2,?,,
SB05,Saab 105,Saab AB,Sweden,Landplane,Military Trainer,Jet,2,Light,2,1963,?,192
SB20,Saab 2000,Saab AB,Sweden,Landplane,Passenger Airliner,Turboprop,2,Medium,58,1992,1999,64
SB29,Saab 29 Tunnan,Saab AB,Sweden,Landplane,Fighter,Jet,1,Medium,1,1948,1956,661
SB32,Saab 32 Lansen,Saab AB,Sweden,Landplane,Fighter,Jet,1,Medium,2,1952,1959,450
SB35,Saab 35 Draken,Saab AB,Sweden,Landplane,Fighter,Jet,1,Medium,1,1955,1974,644
SB37,Saab 37 Viggen,Saab AB,Sweden,Landplane,Fighter,Jet,1,Medium,1,1967,1990,329
SB39,Saab JAS 39 Gripen,Saab AB,Sweden,Landplane,Fighter,Jet,1,Medium,1,1988,,219
SB7,Seabird SB-7 Seeker,Seabird Aviation Australia Pty Ltd,Australia,Landplane,General Aviation,Piston,1,Light,2,1989,,
SB91,Saab 91 Safir,Saab AB,Sweden,Landplane,Military Trainer,Piston,1,Light,3,1945,?,323
SBD,Douglas SBD Dauntless,Douglas Aircraft Company,United States,Landplane,Bomber,Piston,1,Light,2,1940,1944,5 936
SBLS,Slipstream SkyBlaster,SlipStream Industries Inc,United States,Landplane,General Aviation,Piston,2,Light,2,1992,,
SBM3,E &amp; K SBM-03 Kos,E &amp; K Sp z oo,Poland,Landplane,_unknown_,Piston,1,Light,,?,,
